id,input,noodle_type,soup,spicy
0000,โกวาจี,0,0,0
0001,โกวาจี สั่ง บะหมี่ น้ำ สอง ชาม,บะหมี่,1,0
0002,เอา ก๋วยเตี๋ยว เรือ เส้น ใหญ่ น้ำ ไม่ ใส่ ถั่วงอก,เส้นใหญ่,1,0
0003,บะหมี่ แห้ง พิเศษ ชาม นึง ครับ,บะหมี่,0,0
0004,เอา บะหมี่ ต้มยำ แบบ ไม่ เผ็ด ที่ นึง,บะหมี่,1,0
0005,เอา บะหมี่ พิเศษ สี่ สิบ ห้า บาท,บะหมี่,1,0
0006,บะหมี่ แห้ง เพิ่ม ลูกชิ้น เนื้อ ครับ,บะหมี่,0,0
0007,ก๋วยเตี๋ยว เรือ พิเศษ เส้น บะหมี่ ครับ,บะหมี่,1,0
0008,ก๋วยเตี๋ยว เรือ เส้น เล็ก ไม่ ใส่ ผัก ไม่ ใส่ เครื่องใน,เส้นเล็ก,1,0
0009,ก๋วยเตี๋ยว เรือ เส้น บะหมี่ เพิ่ม เนื้อ ชาม นึง,บะหมี่,1,0
0010,เอา บะหมี่ เกี๊ยว ที่ นึง,บะหมี่,1,0
0011,เอา บะหมี่ เกี๊ยว เพิ่ม ไข่ ต้ม,บะหมี่,1,0
0012,เอา วุ้นเส้น ต้มยำ เผ็ด ปกติ,บะหมี่,1,1
0013,เอา ต้มยำ เส้น มาม่า ชาม นึง,มาม่า,1,1
0014,เส้น ใหญ่ แห้ง ไม่ ใส่ ถั่วงอก เพิ่ม ลูกชิ้น,เส้นใหญ่,0,0
0015,สั่ง เส้น ใหญ่ เพิ่ม ลูกชิ้น สอง ชาม,เส้นใหญ่,1,0
0016,เอา เป็น เกี๊ยว น้ำ หนึ่ง ที่ ครับ,เกี๊ยว,1,0
0017,เส้น เล็ก แห้ง เพิ่ม เกี๊ยว ไม่ ใส่ ถั่วงอก ครับ,เส้นเล็ก,0,0
0018,เส้น เล็ก เย็นตาโฟ ชาม นึง,เส้นเล็ก,1,0
0019,เล็ก น้ำ พิเศษ ที่ นึง,เส้นเล็ก,1,0
0020,เล็ก น้ำ สี่ เล็ก แห้ง สอง,เส้นเล็ก,0,0
0021,เย็นตาโฟ พิเศษ เส้น ใหญ่ และ ก็ บะหมี่ ต้มยำ อย่าง ละ ชาม,เส้นใหญ่,1,0
0022,ขอ สั่ง บะหมี่ เนื้อ ตุ๋น ชาม นึง ครับ,บะหมี่,1,0
0023,เอา ก๋วยเตี๋ยว เนื้อ เส้น ใหญ่ ครับ,เส้นใหญ่,1,0
0024,เกาเหลา เนื้อ ชาม นึง,เกาเหลา,1,0
0025,ขอ เกาเหลา ลูกชิ้น พิเศษ,เกาเหลา,1,0
0026,สั่ง มาม่า ต้มยำ เพิ่ม เส้น เพิ่ม ที่ นึง ครับ,บะหมี่,1,1
0027,ก๋วยเตี๋ยว เรือ เนื้อ ตุ๋น สี่ กลับบ้าน,บะหมี่,1,0
0028,วุ้นเส้น เย็นตาโฟ กลับบ้าน สาม,วุ้นเส้น,1,0
0029,เกาเหลา เนื้อ เปื่อย ไม่ ใส่ เครื่องใน,เกาเหลา,1,0
0030,เส้น ใหญ่ ธรรมดา ไม่ ใส่ เครื่องใน,เส้นใหญ่,1,0
0031,บะหมี่ น้ำ ไม่ เอา เครื่องใน,บะหมี่,1,0
0032,ขอ เส้น เล็ก น้ำ ไม่ผัก,เส้นเล็ก,1,0
0033,เอา บะหมี่ เกี๊ยว เพิ่ม เส้น,บะหมี่,1,0
0034,ก๋วยเตี๋ยว เป็ด พิเศษ,บะหมี่,1,0
0035,เส้น ใหญ่ น้ำ ไม่ ใส่ กระเทียม เจียว,เส้นใหญ่,1,0
0036,ขอ เส้น เล็ก แห้ง สอง ชาม ครับ,เส้นเล็ก,0,0
0037,เล็ก แห้ง ชาม นึง,เส้นเล็ก,0,0
0038,เส้น เล็ก ต้มยำ เพิ่ม ลูกชิ้น,เส้นเล็ก,1,1
0039,เส้น ใหญ่่ แห้ง ไม่ ผัก ไม่ งอก,เส้นใหญ่,0,0
0040,เส้น เล็ก น้ำตก พิเศษ,เส้นเล็ก,1,0
0041,บะหมี่ หมูแดง ชาม นึง ครับ ไม่ ใส่ ผัก ครับ,บะหมี่,1,0
0042,เส้น ใหญ่ พิเศษ,เส้นใหญ่,1,0
0043,ก๋วยเตี๋ยว เนื้อ เส้น ใหญ่ น้ำใส ชาม นึง ครับ,เส้นใหญ่,1,0
0044,เอา บะหมี่ แห้ง ไม่ งอก,บะหมี่,0,0
0045,ขอ บะหมี่ น้ำ ครับ,บะหมี่,1,0
